Date,Day,O,H,L,C,PC,HL,BR,CO,AbsCO,Gap,AbsGap,FII,DII,Net
12-May-23,Friday,43447.15,43905.95,43347.75,43793.55,43475.3,1.29,0.62,0.80,0.80,-0.06,0.06,1014.06,-922.19,91.87
11-May-23,Thursday,43535.1,43774.25,43367.25,43475.3,43331.05,0.94,0.15,-0.14,0.14,0.47,0.47,837.2,-200.09,637.11
10-May-23,Wednesday,43275.25,43383.65,42822.15,43331.05,43198.15,1.31,0.10,0.13,0.13,0.18,0.18,1833.1,-789.7,1043.4
09-May-23,Tuesday,43438.55,43533.25,43125.85,43198.15,43284,0.94,0.59,-0.55,0.55,0.36,0.36,1942.2,404.8,2347
08-May-23,Monday,42796.85,43418.55,42780.3,43284,42661.2,1.49,0.76,1.14,1.14,0.32,0.32,2123.76,245.27,2369.03
05-May-23,Friday,43110.65,43588,42582.2,42661.2,43685.45,2.36,0.45,-1.04,1.04,-1.32,1.32,777.68,-2198.77,-1421.09
04-May-23,Thursday,43236.1,43739.8,43213.95,43685.45,43312.7,1.22,0.85,1.04,1.04,-0.18,0.18,1414.73,441.56,1856.29
03-May-23,Wednesday,43154.85,43354.95,43078.15,43312.7,43352.1,0.64,0.57,0.37,0.37,-0.45,0.45,1338,-583.99,754.01
02-May-23,Tuesday,43395.05,43483.85,43269.4,43352.1,43233.9,0.50,0.20,-0.10,0.10,0.37,0.37,"1,997.40",-394.1,"1,603.30"
28-Apr-23,Friday,43045.5,43302.05,42810.35,43233.9,43000.85,1.15,0.38,0.44,0.44,0.10,0.10,3304.32,264.27,3568.59
27-Apr-23,Thursday,42753.9,43043.4,42736.6,43000.85,42829.9,0.72,0.80,0.58,0.58,-0.18,0.18,1652.95,97.07,1750.02
26-Apr-23,Wednesday,42559.05,42875.6,42432.25,42829.9,42678.5,1.04,0.61,0.64,0.64,-0.28,0.28,1257.48,-227.88,1029.6
25-Apr-23,Tuesday,42731.6,42865.55,42601.5,42678.5,42635.75,0.62,0.20,-0.12,0.12,0.22,0.22,-407.35,563.61,156.26
24-Apr-23,Monday,42469.95,42714.15,42269.1,42635.75,42118,1.05,0.37,0.39,0.39,0.84,0.84,-412.27,1177.18,764.91
21-Apr-23,Friday,42252.55,42382.15,41962.35,42118,42269.5,1.00,0.32,-0.32,0.32,-0.04,0.04,-2116.76,1632.66,-484.1
20-Apr-23,Thursday,42218.5,42378.15,42108.85,42269.5,42154,0.64,0.19,0.12,0.12,0.15,0.15,-1169.32,832.72,-336.6
19-Apr-23,Wednesday,42280.1,42339.9,42022.15,42154,42265.2,0.76,0.40,-0.30,0.30,0.04,0.04,-13.17,-110.42,-123.59
18-Apr-23,Tuesday,42406.95,42500.7,42114.35,42265.2,42262.55,0.92,0.37,-0.33,0.33,0.34,0.34,-810.6,401.66,-408.94
17-Apr-23,Monday,42603.55,42603.55,41799,42262.55,42132.55,1.92,0.42,-0.80,0.80,1.12,1.12,-533.2,269.65,-263.55
13-Apr-23,Thursday,41680.1,42196.2,41502.65,42132.55,41557.95,1.67,0.65,1.09,1.09,0.29,0.29,221.85,-273.68,-51.83
12-Apr-23,Wednesday,41426,41610.15,41332,41557.95,41366.5,0.67,0.47,0.32,0.32,0.14,0.14,1907.95,-225.22,1682.73
11-Apr-23,Tuesday,41232,41403.25,40990.2,41366.5,40834.65,1.01,0.33,0.33,0.33,0.97,0.97,342.84,-264.02,78.82
10-Apr-23,Monday,41116.15,41139.85,40727.25,40834.65,41041,1.01,0.68,-0.68,0.68,0.18,0.18,882.52,351.5,1234.02
06-Apr-23,Thursday,40940.7,41274.7,40820.55,41041,40999.15,1.11,0.22,0.24,0.24,-0.14,0.14,475.81,-997.08,-521.27
05-Apr-23,Wednesday,40972.3,41071.15,40802.65,40999.15,40813.05,0.66,0.10,0.07,0.07,0.39,0.39,806.82,-947.21,-140.39
03-Apr-23,Monday,40695.8,40857.6,40535.9,40813.05,40608.65,0.79,0.36,0.29,0.29,0.21,0.21,321.93,-328.24,-6.31
31-Mar-23,Friday,40231.25,40690.4,40180.2,40608.65,39910.15,1.27,0.74,0.94,0.94,0.80,0.80,357.86,2479.96,2837.82
29-Mar-23,Wednesday,39611.55,40055,39609.55,39910.15,39567.9,1.12,0.67,0.75,0.75,0.11,0.11,1245.39,822.99,2068.38
28-Mar-23,Tuesday,39545.05,39645.2,39326.1,39567.9,39431.3,0.81,0.07,0.06,0.06,0.29,0.29,1531.13,-156.11,1375.02
27-Mar-23,Monday,39484.7,39695.2,39273.75,39431.3,39395.35,1.07,0.13,-0.14,0.14,0.23,0.23,-890.64,1808.94,918.3
24-Mar-23,Friday,39555.25,39767.9,39294.9,39395.35,39616.9,1.20,0.34,-0.40,0.40,-0.16,0.16,-1720.44,2555.53,835.09
23-Mar-23,Thursday,39836.15,40201.6,39552.5,39616.9,39999.05,1.64,0.34,-0.55,0.55,-0.41,0.41,-995.01,1668.85,673.84
22-Mar-23,Wednesday,40036,40085.6,39837.8,39999.05,39894.7,0.62,0.15,-0.09,0.09,0.35,0.35,61.72,383.51,445.23
21-Mar-23,Tuesday,39599.65,39970.9,39366.3,39894.7,39361.95,1.54,0.49,0.75,0.75,0.60,0.60,-1454.63,1946.06,491.43
20-Mar-23,Monday,39512.1,39512.1,38941.9,39361.95,39598.1,1.46,0.26,-0.38,0.38,-0.22,0.22,-2545.87,2876.64,330.77
17-Mar-23,Friday,39442.4,39705.15,38926.8,39598.1,39132.6,2.00,0.20,0.39,0.39,0.79,0.79,-1766.53,1817.14,50.61
16-Mar-23,Thursday,39061.7,39381.4,38613.15,39132.6,39051.5,1.99,0.09,0.18,0.18,0.03,0.03,-282.06,2051.45,1769.39
15-Mar-23,Wednesday,39777.9,39914.1,38934.65,39051.5,39411.4,2.52,0.74,-1.83,1.83,0.93,0.93,-1271.25,1823.94,552.69
14-Mar-23,Tuesday,39522.4,39768.5,39132.6,39411.4,39564.7,1.62,0.17,-0.28,0.28,-0.11,0.11,-3086.96,2121.94,-965.02
13-Mar-23,Monday,40356.1,40690.05,39454.6,39564.7,40485.45,3.13,0.64,-1.96,1.96,-0.32,0.32,-1546.86,1418.58,-128.28
10-Mar-23,Friday,40805.25,40839,40341.7,40485.45,41256.75,1.23,0.64,-0.78,0.78,-1.09,1.09,-2061.47,1350.13,-711.34
09-Mar-23,Thursday,41532.65,41659,41208.1,41256.75,41577.1,1.09,0.61,-0.66,0.66,-0.11,0.11,-561.78,42.41,-519.37
08-Mar-23,Wednesday,41178.35,41625.35,41100.35,41577.1,41350.4,1.28,0.76,0.97,0.97,-0.42,0.42,3671.56,-937.8,2733.76
06-Mar-23,Monday,41418.4,41671.2,41259.15,41350.4,41251.35,1.00,0.17,-0.16,0.16,0.40,0.40,721.37,757.23,1478.6
03-Mar-23,Friday,40671.4,41390.15,40605.35,41251.35,40389.8,1.93,0.74,1.43,1.43,0.70,0.70,246.24,2089.92,2336.16
02-Mar-23,Thursday,40604.55,40773.25,40312.9,40389.8,40698.15,1.14,0.47,-0.53,0.53,-0.23,0.23,12770.81,2128.8,14899.61
01-Mar-23,Wednesday,40473.85,40725.35,40341.95,40698.15,40269.05,0.95,0.59,0.55,0.55,0.51,0.51,-424.88,1498.66,1073.78
28-Feb-23,Tuesday,40302.7,40391.45,40073,40269.05,40307.1,0.79,0.11,-0.08,0.08,-0.01,0.01,-4559.21,4609.87,50.66
27-Feb-23,Monday,39820.4,40371.45,39745.4,40307.1,39909.4,1.58,0.78,1.22,1.22,-0.22,0.22,-2022.52,2231.66,209.14
24-Feb-23,Friday,40259.1,40348.1,39818.9,39909.4,40001.55,1.33,0.66,-0.87,0.87,0.64,0.64,-1470.34,1400.98,-69.36
23-Feb-23,Thursday,39983.7,40147.8,39600.25,40001.55,39995.9,1.38,0.03,0.04,0.04,-0.03,0.03,-1417.24,1586.06,168.82
22-Feb-23,Wednesday,40494.15,40529.25,39899,39995.9,40673.6,1.58,0.79,-1.23,1.23,-0.44,0.44,-579.82,371.56,-208.26
21-Feb-23,Tuesday,40784.9,40946.2,40508.25,40673.6,40701.7,1.08,0.25,-0.27,0.27,0.20,0.20,525.8,-235.23,290.57
20-Feb-23,Monday,41221.55,41292.6,40580.1,40701.7,41131.75,1.76,0.73,-1.26,1.26,0.22,0.22,-158.95,86.23,-72.72
17-Feb-23,Friday,41514,41516.3,40882.7,41131.75,41631.35,1.55,0.60,-0.92,0.92,-0.28,0.28,-624.61,-85.29,-709.9
16-Feb-23,Thursday,41925.7,41979.1,41521.95,41631.35,41731.05,1.10,0.64,-0.70,0.70,0.47,0.47,1570.62,1577.27,3147.89
15-Feb-23,Wednesday,41674.6,41795.45,41455.6,41731.05,41648.35,0.82,0.17,0.14,0.14,0.06,0.06,432.15,516.64,948.79
14-Feb-23,Tuesday,41410.45,41718,41195.75,41648.35,41282.2,1.27,0.46,0.57,0.57,0.31,0.31,1305.3,204.79,1510.09
13-Feb-23,Monday,41563.5,41662.55,41157.9,41282.2,41559.4,1.23,0.56,-0.68,0.68,0.01,0.01,1322.39,521.69,1844.08
10-Feb-23,Friday,41452.4,41678.9,41424.9,41559.4,41554.3,0.61,0.42,0.26,0.26,-0.25,0.25,1458.02,-291.34,1166.68
09-Feb-23,Thursday,41634,41634,41252.95,41554.3,41537.65,0.92,0.21,-0.19,0.19,0.23,0.23,-144.73,-205.25,-349.98
08-Feb-23,Wednesday,41542.05,41791.95,41403.05,41537.65,41490.95,0.94,0.01,-0.01,0.01,0.12,0.12,-736.82,941.16,204.34
07-Feb-23,Tuesday,41513.1,41630.75,41095.1,41490.95,41374.65,1.30,0.04,-0.05,0.05,0.33,0.33,-2559.96,639.82,-1920.14
06-Feb-23,Monday,41530.15,41724.5,41261.2,41374.65,41499.7,1.12,0.34,-0.37,0.37,0.07,0.07,-1218.14,1203.09,-15.05
03-Feb-23,Friday,41019.35,41539.95,40609.75,41499.7,40669.3,2.29,0.52,1.17,1.17,0.86,0.86,-932.44,1264.74,332.3
02-Feb-23,Thursday,39943.35,40757.6,39761.45,40669.3,40513,2.51,0.73,1.82,1.82,-1.41,1.41,-3065.35,2371.36,-693.99
01-Feb-23,Wednesday,41115,42015.65,39490.5,40513,40655.05,6.39,0.24,-1.46,1.46,1.13,1.13,1785.21,529.47,2314.68
31-Jan-23,Tuesday,40563.85,40811.65,40167.7,40655.05,40387.45,1.60,0.14,0.22,0.22,0.44,0.44,-5439.64,4506.31,-933.33
30-Jan-23,Monday,39856.15,40789.55,39419.8,40387.45,40345.3,3.47,0.39,1.33,1.33,-1.21,1.21,-6792.8,5512.63,-1280.17
